"Län","Kommun","Avfall_2015","Avfall_2016","Avfall_2017","Avfall_2018","Avfall_2019","Avfall_2020","Avfall_2021","Avfall_2022","Avfall_2023","Avfall_2024"
"Norrbotten","Arjeplog",39,39.4,39.4,39.41,39.41,30.18,31.4,31.4,34.76,22.85
"Dalarna","Älvdalen",38.4,38.4,36.5,33.39,33.72,33.72,39.23,43.53,49.9,37.68
"Norrbotten","Pajala",40.3,40.3,40.3,40.34,35.4,38.24,36.9,38.89,34.02,32
"Västra Götaland","Färgelanda",33,31.3,32.3,32.31,32.31,34.15,35.11,35.92,39.1,26.58
"Västerbotten","Bjurholm",32.8,32.8,32.8,33.36,33.36,34.36,36.85,36.85,36.85,43.71
"Västerbotten","Åsele",31.9,31.9,31.9,31.87,33.4,33.41,36.15,36.4,39.67,43.87
"Jämtland","Härjedalen",45.6,45.6,48.5,48.45,48.45,46.73,43.35,43.35,33.3,27.5
"Södermanland","Gnesta",31.5,31.5,31.5,28.09,28.09,28.88,28.88,28.88,28.88,19.76
"Västmanland","Surahammar",30.6,32.1,33.7,33.73,33.73,33.73,23.27,24.23,25.07,21.47
"Norrbotten","Övertorneå",30.8,37.2,38.2,39.31,43.24,45.4,44.28,50.35,29.99,14.51
"Dalarna","Vansbro",34.4,35,35,34.96,36.48,36.48,36.48,38.89,45.22,34.45
"Stockholm","Upplands Bro",30,28.4,24.5,25.51,28.42,28.43,24.46,24.46,24.46,23.63
"Västra Götaland","Tranemo",30.4,29.7,31.1,33.02,34.65,35.1,35.96,37.45,41.19,36.54
"Västra Götaland","Dals Ed",30.4,30.7,31.6,32.37,33.74,35.1,36.5,37.24,39.2,28.24
"Jämtland","Berg",29.3,30.4,31.4,37.74,38.98,39.77,40.45,40.45,30.38,30.39
"Södermanland","Trosa",29.7,19,19.1,27.93,27.93,29.64,32.51,35.22,35.22,34.15
"Östergötland","Mjölby",34.8,36.5,38.3,38.33,30.58,30.6,32.19,32.88,35.34,36.99
"Skåne","Bromölla",28.2,28.2,28.2,28.19,28.19,28.19,25.29,25.29,25.29,21.25
"Västernorrland","Sollefteå",28.1,28.1,28.1,28.14,28.14,29.79,31.58,31.58,33.16,27.23
"Jönköping","Habo",27.9,27.9,27.9,27.86,22.28,24.99,26.17,26.71,26.71,21.07
"Jönköping","Eksjö",27.8,26.5,27,27.67,28.28,28.87,29.3,30.04,32.92,23.24
"Västra Götaland","Bengtsfors",25.5,25.5,26.2,28.13,29.6,30.69,33.27,41.1,46.48,19.91
"Halland","Hylte",28.8,29.1,23.6,27.36,20.22,20.33,22.28,27.47,30.48,27.18
"Västerbotten","Nordmaling",34.1,27,26.8,26.78,26.78,25.73,25.58,26.36,29.18,25.79
"Östergötland","Ödeshög",27.3,26.9,26.9,20.75,20.75,27.58,32.9,36.29,40.92,40.95
"Västra Götaland","Alingsås",24.6,24.4,25.9,37.32,40.03,42.28,43.1,46.89,48.18,40
"Gotland","Region Gotland",26.8,26.8,26.8,26.81,26.81,26.81,28.76,29.88,33.16,31.33
"Norrbotten","Kalix",27.1,27.1,27.6,27.76,27.76,28.99,29.56,30.71,32.68,29.2
"Jämtland","Krokom",26.6,26.6,30.1,30.06,30.47,31.59,32.84,36.26,40.71,39.27
"Västra Götaland","Grästorp",27.3,27.3,27.9,28.42,28.98,29.56,29.57,30.15,29.63,21.6
"Stockholm","Nykvarn",25.6,26.8,29,28.99,28.99,28.99,28.99,26.08,26.08,24.45
"Jämtland","Ragunda",26.5,26.5,26.7,27.92,27.46,31.43,32.06,32.06,21.65,17.78
"Dalarna","Rättvik",26.5,25.8,25.1,25.1,25.39,25.39,28.12,31.14,37.74,31.83
"Stockholm","Ekerö",26,28.5,28.5,28.5,28.5,28.5,36.9,36.9,36.9,27.24
"Västra Götaland","Mellerud",26,26,26,26.04,26.03,26.03,26.19,29.32,34.51,35.19
