"Län","Kommun","Elbolag","El_2015","El_2016","El_2017","El_2018","El_2019","El_2020","El_2021","El_2022","El_2024","El_2212","Rang_2015","Rang_2018","Rang_2019","Rang_2020","Rang_2021","Rang_2022"
"Blekinge","Karlshamn","Karlshamn Energi AB",59.26,60.7,65.34,95.52,100.77,89.47,93.13,154.49,NA,32216,30,51,54,60,70,247
"Blekinge","Karlskrona","Affärsverken Elnät i Karlskrona AB",82.11,87.9,92.35,110,117.8,104.65,107.91,167.96,120.83,66682,182,159,186,213,269,282
"Blekinge","Olofström","Olofströms Kraft Nät AB",82.12,85.4,88.68,105.98,111.19,98.26,101.51,160.76,110.68,13159,183,140,148,146,161,256
"Blekinge","Ronneby","Ronneby Miljö & Teknik AB",54.52,54.3,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA
"Blekinge","Sölvesborg","Sölvesborgs Energi & Vatten AB",70.92,68.7,72.04,97.13,NA,NA,NA,NA,94.86,NA,94,70,NA,NA,NA,NA
"Dalarna","Avesta","Vattenfall Eldistribution AB",81.68,93.8,104.32,115.1,118.22,105.09,103.05,147.36,111.82,22932,142,253,187,214,185,170
"Dalarna","Borlänge","AB Borlänge Energi Elnät",44.72,46.3,47.88,84.87,88.82,75.91,80.07,124.73,69.05,52178,1,3,3,3,4,42
"Dalarna","Falun","Falu Elnät AB",68.02,68.1,70.68,96.56,100.91,87.76,95.04,139.52,90.98,59818,80,59,57,53,85,96
"Dalarna","Gagnef","Dala Energi Elnät AB",76.47,79.8,85.52,104.92,108.05,96.65,100.99,147.32,124.74,10499,115,134,124,135,157,166
"Dalarna","Hedemora","Hedemora Elnät AB",61.79,64,68.67,94.5,98.99,87.84,91.09,136.57,89.92,15443,39,44,48,54,52,83
"Dalarna","Leksand","Dala Energi Elnät AB",76.47,79.8,85.52,104.92,108.05,96.65,100.99,147.32,124.74,16113,116,132,124,135,157,166
"Dalarna","Ludvika","Västerbergslagens Elnät AB",67.97,73.5,77.51,100.99,105.09,92.44,97.86,146.94,119.07,26353,79,111,109,104,128,161
"Dalarna","Malung-Sälen","Malungs Elnät AB",68.89,91,91,104.06,107.18,94.04,97.3,146.88,NA,NA,87,126,120,120,115,160
"Dalarna","Mora","Fortum Distribution AB",81.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA
"Dalarna","Orsa","Fortum Distribution AB",81.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA
"Dalarna","Rättvik","Dala Energi Elnät AB",76.48,79.8,85.52,104.92,108.05,96.65,100.99,147.32,124.74,11092,117,131,124,135,157,166
"Dalarna","Smedjebacken","Smedjebacken Energi Nät AB",64.73,65.2,66.05,94.01,97.65,86.24,91.18,136.12,90.22,10922,64,42,38,46,53,81
"Dalarna","Säter","Dala Elnät AB",79.1,81.2,85.52,104.92,NA,NA,NA,NA,NA,NA,128,133,NA,NA,NA,NA
"Dalarna","Vansbro","Fortum Distribution AB",105.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,NA,NA,NA,NA,NA
"Dalarna","Älvdalen","Fortum Distribution AB",81.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA
"Gotland","Region Gotland","Gotlands Elnät AB",69.45,79.8,89.66,107.7,110.82,100.26,103.51,154.61,130.22,61173,90,145,140,155,229,248
"Gävleborg","Bollnäs","Fortum Distribution AB",81.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,NA
"Gävleborg","Gävle","Gävle Energi AB",64.54,65,65.43,93.57,97.82,85.53,89.53,134.91,88.42,103493,62,39,41,41,43,74
"Gävleborg","Hofors","Hofors Elverk AB",76.76,78.4,79.9,100.63,104.53,92.71,97.4,144.29,104.71,9472,118,106,106,107,123,137
