"Län","Kommun","VA_2016","VA_2017","VA_2018","VA_2019","VA_2020","VA_2021","VA_2022","VA_2023","VA_2024"
"Blekinge","Karlshamn",36.5,40.2,42.23,49.17,53.28,57.2,61.78,67.97,84.13
"Blekinge","Karlskrona",88.9,88.9,88.9,88.9,88.9,89.93,90.5,101.03,111.14
"Blekinge","Olofström",71.31,73.5,74.95,78.33,82.01,85.7,89.21,98.13,102.17
"Blekinge","Ronneby",61.77,64.3,64.25,64.25,68.71,68.71,68.71,77.91,98.55
"Blekinge","Sölvesborg",53.5,57.6,57.55,62.21,62.21,73.2,77.97,86.05,92.51
"Dalarna","Avesta",36.36,37.3,40.07,41.23,44.36,46.13,50.3,58.9,58.9
"Dalarna","Borlänge",43.63,43.6,45.81,46.71,48.95,50.73,52.41,55.17,63.45
"Dalarna","Falun",69.02,67.3,68.8,70.36,71.35,74.91,80.46,86.81,95.6
"Dalarna","Gagnef",82.03,82,83.67,83.18,80.69,79.08,79.08,83.04,99.66
"Dalarna","Hedemora",70.16,73.2,75.17,78.88,81,84.42,89.84,92.7,101.96
"Dalarna","Leksand",62.74,62.7,65.87,68.62,70.66,74.21,77.92,89.6,111.89
"Dalarna","Ludvika",65.2,65.2,65.2,67.81,71.21,82.3,86.42,96.8,105.52
"Dalarna","Malung-Sälen",95.1,95.9,95.9,95.9,97.1,101.38,101.61,111.78,118.48
"Dalarna","Mora",39.72,46.5,46.51,46.51,50.26,54.24,57.62,58.95,59.09
"Dalarna","Orsa",90.91,90.9,90.91,98.15,103.09,111.39,117.04,125.34,134.1
"Dalarna","Rättvik",75.17,75.2,76.67,78.41,78.41,81.14,85.2,93.72,125.35
"Dalarna","Smedjebacken",81.5,81.5,86.05,86.05,88.63,92.21,95.91,114.15,128.99
"Dalarna","Säter",68.93,68.9,68.93,75.83,75.83,87.33,87.33,96.07,110.59
"Dalarna","Vansbro",92.55,92.6,94.41,93.62,96.44,98.38,100.36,105.37,126.45
"Dalarna","Älvdalen",93.94,93.9,93.94,93.94,108.03,113.45,113.45,115.72,122.67
